expressionId,practiceExampleNumber,practiceQuestion,practiceQuestionTranslation,sentenceText,sentenceTranslation,acceptedAnswerCount,acceptedAnswers,reviewReason,reviewNotes
1,1,Want a cold beer? It's so hot.,시원한 맥주 마실래? 너무 덥다.,There's nothing like a cold beer on a hot day.,더운 날엔 시원한 맥주만 한 게 없지.,4,"더운 날엔 시원한 맥주만 한 게 없지
시원한 맥주만 한 게 더운 날엔 없지
더운 날엔 없지 시원한 맥주만 한 게
시원한 맥주만 한 게 없지 더운 날엔",더운 날이라는 시점과 비교 명사구를 보존해 위치를 검토했다.,
1,2,What do you miss most about being away from home?,집 떠나 있으니까 뭐가 제일 그리워?,There's nothing like mom's cooking.,엄마 밥만 한 게 없어.,2,"엄마 밥만 한 게 없어
없어 엄마 밥만 한 게",비교 표현 내부는 그대로 보존한다. 일상 대화에서 전체 비교 대상을 서술어 뒤에 덧붙이는 어순도 자연스러워 추가했다.,
2,1,What do you think of her singing?,걔 노래 어때?,Her voice blows my mind every time.,그녀 목소리는 들을 때마다 소름 돋아.,4,"그녀 목소리는 들을 때마다 소름 돋아
들을 때마다 그녀 목소리는 소름 돋아
그녀 목소리는 소름 돋아 들을 때마다
들을 때마다 소름 돋아 그녀 목소리는",그녀 목소리라는 주제와 들을 때마다라는 빈도를 교환하고 소름 돋아는 유지했다.,
2,2,How was the movie?,영화 어땠어?,The special effects blew my mind.,특수효과가 끝내줬어.,2,"특수효과가 끝내줬어
끝내줬어 특수효과가",영화에 대한 감상을 말하는 문맥에서 특수효과를 뒤에 덧붙이는 구어 어순도 자연스럽다. 두 단어의 서로 다른 배열 두 개를 모두 포함한다.,
3,1,Is she bilingual?,걔 이중언어 하는 애야?,She grew up speaking two languages.,걔는 두 개 언어를 쓰면서 자랐어.,4,"걔는 두 개 언어를 쓰면서 자랐어
두 개 언어를 쓰면서 걔는 자랐어
걔는 자랐어 두 개 언어를 쓰면서
두 개 언어를 쓰면서 자랐어 걔는",두 개 언어를 쓰면서라는 방식과 성장의 관계를 보존했다.,
3,2,You're getting so big!,너 진짜 많이 컸다!,What do you want to be when you grow up?,커서 뭐가 되고 싶어?,2,"커서 뭐가 되고 싶어
뭐가 되고 싶어 커서",커서가 되고 싶은 시점을 수식하도록 유지하고 의문사를 술어 뒤에 단독으로 남기지 않았다.,
4,1,You have to see this.,이거 꼭 봐야 해.,Check out this video!,이 영상 좀 봐!,4,"이 영상 좀 봐
좀 이 영상 봐
이 영상 봐 좀
좀 봐 이 영상",이 영상이라는 대상과 좀의 부탁 의미를 보존한 구어 어순이다.,
4,2,What time do we leave the hotel?,호텔에서 몇 시에 나가야 해?,We need to check out by 11.,11시까지 체크아웃해야 해.,2,"11시까지 체크아웃해야 해
체크아웃해야 해 11시까지",체크아웃해야 해의 보조 용언은 함께 유지한다. 체크아웃 의무를 말한 뒤 기한을 덧붙여도 자연스럽고 기한의 의미도 같다.,
5,1,What does your sister do for fun?,네 여동생은 취미가 뭐야?,She's into hiking and camping.,걔는 등산이랑 캠핑을 좋아해.,4,"걔는 등산이랑 캠핑을 좋아해
등산이랑 캠핑을 걔는 좋아해
걔는 좋아해 등산이랑 캠핑을
등산이랑 캠핑을 좋아해 걔는",등산이랑 캠핑을이라는 연결 명사구를 보존하고 화자의 위치를 옮겼다.,
5,2,I love listening to music.,나 음악 듣는 거 완전 좋아해.,What kind of music are you into?,넌 어떤 음악 좋아해?,3,"넌 어떤 음악 좋아해
어떤 음악 넌 좋아해
어떤 음악 좋아해 넌",어떤 음악이라는 의문 명사구를 유지하며 질문 대상과 주제를 교환했다.,
